Reactor name,Reactor type,Estimated burnup,e. U235,SFCompo sample ref,Measurement type,Sample identifier,Item,Z,A,I,Value,Unit,Concentration,Concentration Unit,Sigma,Uncertainty
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Isotopic Concentration,B,Pu241,94,241,0,0.000387,g/gHMi,0.387,mg/gUi,1,1.6 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Isotopic Concentration,B,Pu242,94,242,0,0.0000991,g/gHMi,0.0991,mg/gUi,1,1.6 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Isotopic Concentration,B,U234,92,234,0,0.000197,g/gHMi,0.197,mg/gUi,1,1.6 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Isotopic Concentration,B,U235,92,235,0,0.0147,g/gHMi,14.7,mg/gUi,1,1.6 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Isotopic Concentration,B,U236,92,236,0,0.00281,g/gHMi,2.81,mg/gUi,1,1.6 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Isotopic Concentration,B,U238,92,238,0,0.969,g/gHMi,969,mg/gUi,1,1.6 %
Cooper-1,BWR,17.84 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|B,Other,B,Ci(cm243+cm244)/gHMi,,,,0.000129,,,,1,4.1 %
Cooper-1,BWR,18.39 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|C,Activity,C,I129,53,129,0,1.4E-8,Ci/gUi,0.07925,mg/gUi,1,2.8 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Activity,J,Am241,95,241,0,0.00107,Ci/gHMi,0.3121,mg/gUi,1,4.9 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Activity,J,Cs135,55,135,0,5.93E-7,Ci/gHMi,0.5147,mg/gUi,1,14 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Activity,J,Cs137,55,137,0,0.0822,Ci/gHMi,0.9468,mg/gUi,1,3.5 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Activity,J,Np237,93,237,0,2.66E-7,Ci/gHMi,0.3781,mg/gUi,1,1.9 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Activity,J,Se79,34,79,0,4.83E-8,Ci/gHMi,0.003572,mg/gUi,1,4.9 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Activity,J,Sn126,50,126,0,1.6E-7,Ci/gHMi,0.01296,mg/gUi,1,10.2 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Activity,J,Sr90,38,90,0,0.0497,Ci/gHMi,0.3598,mg/gUi,1,5.7 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Activity,J,Tc99,43,99,0,0.0000112,Ci/gHMi,0.6541,mg/gUi,1,3.5 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Isotopic Concentration,J,Pu238,94,238,0,0.000186,g/gHMi,0.186,mg/gUi,1,1.6 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Isotopic Concentration,J,Pu239,94,239,0,0.00513,g/gHMi,5.13,mg/gUi,1,1.6 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Isotopic Concentration,J,Pu240,94,240,0,0.00245,g/gHMi,2.45,mg/gUi,1,1.6 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Isotopic Concentration,J,Pu241,94,241,0,0.000754,g/gHMi,0.754,mg/gUi,1,1.6 %
Cooper-1,BWR,29.23 GW*d/tUi,2.94 wt%,COO-1|CZ346|ADD2974|J,Isotopic Concentration,J,Pu242,94,242,0,0.000368,g/gHMi,0.368,mg/gUi,1,1.6 %
